month,year,temp
5,1848,59.6516
6,1848,62.2652
7,1848,65.3252
8,1848,62.9168
9,1848,58.1918
10,1848,51.3428
11,1848,41.7146
12,1848,40.1144
1,1849,38.8508
2,1849,41.99
3,1849,41.9018
4,1849,46.1102
5,1849,57.578
6,1849,63.4982
7,1849,64.6268
8,1849,63.5738
9,1849,59.657
10,1849,51.4238
11,1849,41.6318
12,1849,36.5432
1,1850,30.416
2,1850,43.439
3,1850,39.7706
4,1850,50.0036
5,1850,54.1526
6,1850,63.734
7,1850,64.868
8,1850,62.7548
9,1850,56.2838
10,1850,46.4882
11,1850,45.6116
12,1850,37.877
1,1851,39.7724
2,1851,38.1578
3,1851,42.9116
4,1851,48.7094
5,1851,52.1168
6,1851,63.0104
7,1851,63.6548
8,1851,65.6276
9,1851,56.435
10,1851,51.6596
11,1851,37.04
12,1851,35.6288
1,1852,39.794
2,1852,39.1388
3,1852,40.9784
4,1852,47.1092
5,1852,56.4278
6,1852,60.3752
7,1852,70.8836
8,1852,64.6358
9,1852,58.5212
10,1852,48.3836
11,1852,49.5212
12,1852,45.3668
1,1853,41.846
2,1853,33.1484
3,1853,37.229
4,1853,47.2946
5,1853,54.9464
6,1853,61.0556
7,1853,64.8248
8,1853,64.2038
9,1853,57.9758
10,1853,52.0124
11,1853,41.054
12,1853,29.6816
1,1854,37.4252
2,1854,37.274
3,1854,44.51
4,1854,51.4076
5,1854,54.0896
6,1854,58.8506
7,1854,65.4242
8,1854,63.5342
9,1854,60.5588
10,1854,51.6722
11,1854,40.145
12,1854,40.1216
1,1855,31.6238
2,1855,30.8714
3,1855,40.1036
4,1855,47.4314
5,1855,52.3688
6,1855,60.1736
7,1855,65.0174
8,1855,65.6348
9,1855,59.5994
10,1855,52.9196
11,1855,39.182
12,1855,33.071
1,1856,39.2882
2,1856,41.3132
3,1856,41.2772
4,1856,49.9082
5,1856,52.6208
6,1856,62.564
7,1856,64.4936
8,1856,67.9568
9,1856,56.957
10,1856,52.2248
11,1856,39.1748
12,1856,39.0542
1,1857,35.375
2,1857,37.1984
3,1857,42.431
4,1857,47.4476
5,1857,57.0056
6,1857,63.4946
7,1857,67.7732
8,1857,67.8704
9,1857,61.7468
10,1857,53.3768
11,1857,45.122
12,1857,40.1666
1,1858,32.4392
2,1858,35.2976
3,1858,41.639
4,1858,50.7164
5,1858,53.2922
6,1858,67.6994
7,1858,63.0554
8,1858,63.8852
9,1858,62.51
10,1858,51.4922
11,1858,37.3784
12,1858,39.281
1,1859,37.6952
2,1859,41.4554
3,1859,46.6376
4,1859,49.8326
5,1859,56.4026
6,1859,63.5414
7,1859,71.8934
8,1859,67.622
9,1859,59.0144
10,1859,53.6972
11,1859,41.8568
12,1859,33.926
1,1860,40.4996
2,1860,33.8432
3,1860,40.4798
4,1860,45.1382
5,1860,57.4016
6,1860,59.3474
7,1860,61.3058
8,1860,60.2492
9,1860,56.0174
10,1860,50.9108
11,1860,40.1414
12,1860,36.2246
1,1861,29.4782
2,1861,41.7326
3,1861,45.0158
4,1861,47.3954
5,1861,54.6044
6,1861,63.7106
7,1861,63.6908
8,1861,66.6104
9,1861,58.8254
10,1861,54.5396
11,1861,42.7352
12,1861,38.1002
1,1862,36.788
2,1862,40.5158
3,1862,47.2838
4,1862,51.9764
5,1862,58.9964
6,1862,59.5868
7,1862,63.7538
8,1862,62.6774
9,1862,60.0242
10,1862,53.4056
11,1862,41.27
12,1862,41.3942
1,1863,40.4132
2,1863,40.1306
3,1863,43.781
4,1863,50.594
5,1863,55.6646
6,1863,61.4228
7,1863,64.2686
8,1863,66.353
9,1863,55.6178
10,1863,52.9412
11,1863,44.024
12,1863,41.5292
1,1864,32.6948
2,1864,35.5892
3,1864,44.9348
4,1864,49.3844
5,1864,56.3432
6,1864,59.9378
7,1864,64.634
8,1864,61.5092
9,1864,58.496
10,1864,49.244
11,1864,40.7246
12,1864,32.7236
1,1865,36.8384
2,1865,35.555
3,1865,36.2228
4,1865,56.0318
5,1865,60.269
6,1865,62.3462
7,1865,66.8174
8,1865,63.1238
9,1865,64.5296
10,1865,53.1518
11,1865,45.4748
12,1865,36.4694
1,1866,42.26
2,1866,42.8792
3,1866,42.0782
4,1866,51.1322
5,1866,51.6758
6,1866,64.2956
7,1866,64.328
8,1866,61.4318
9,1866,58.703
10,1866,51.377
11,1866,44.8034
12,1866,41.5796
1,1867,35.0312
2,1867,45.6314
3,1867,41.2214
4,1867,50.4356
5,1867,56.5826
6,1867,61.1402
7,1867,62.357
8,1867,65.0768
9,1867,59.8622
10,1867,49.1
11,1867,41.279
12,1867,34.403
1,1868,33.908
2,1868,41.6822
3,1868,43.8602
4,1868,49.1612
5,1868,62.2472
6,1868,64.31
7,1868,68.9846
8,1868,65.3738
9,1868,62.2292
10,1868,49.856
11,1868,40.4816
12,1868,46.6934
1,1869,37.8104
2,1869,45.6062
3,1869,38.183
4,1869,52.7
5,1869,55.5368
6,1869,57.6338
7,1869,67.442
8,1869,62.2364
9,1869,60.7298
10,1869,48.6644
11,1869,43.9052
12,1869,36.2984
1,1870,37.1174
2,1870,34.0898
3,1870,40.3412
4,1870,50.1602
5,1870,57.083
6,1870,63.2786
7,1870,68.7434
8,1870,62.5694
9,1870,57.4934
10,1870,50.8388
11,1870,42.341
12,1870,29.7896
